Pk,Tm,Player,College,Yrs,G,FG%,3P%,FT%,MP2,PTS3,TRB4,AST5,WS,WS/48,BPM,VORP,Year
18,IND,T.J. Leaf,UCLA,4,146,0.492,0.341,0.585,8.5,3.3,1.9,0.3,2.7,0.104,-1.8,0.1,2017
18,SAS,Lonnie Walker,Miami (FL),3,138,0.419,0.369,0.773,19,8,2.3,1.3,0.7,0.014,-3.6,-1.1,2018
19,CLE,J.J. Hickson,NC State,8,534,0.505,0,0.617,22.3,9.5,6.8,0.8,21.9,0.088,-1.8,0.5,2008
19,ATL,Jeff Teague,Wake Forest,12,826,0.444,0.36,0.844,26.8,12.2,2.4,5.6,52.4,0.113,0.6,14.3,2009
19,BOS,Avery Bradley,Texas,11,598,0.435,0.363,0.78,28,11.5,2.9,1.8,16,0.046,-2.3,-1.3,2010
19,CHA,Tobias Harris,Tennessee,10,680,0.475,0.367,0.827,31,16.3,6.1,2.2,52.8,0.12,1.2,16.8,2011
19,ORL,Andrew Nicholson,St. Bonaventure,5,285,0.467,0.321,0.773,14.3,6,3,0.4,3.8,0.045,-3.6,-1.6,2012
19,CLE,Sergey Karasev,,3,95,0.395,0.282,0.842,11.7,3,1.5,0.9,0.8,0.036,-3.4,-0.4,2013
19,CHI,Gary Harris,Michigan State,7,407,0.45,0.359,0.805,28.9,11.9,2.6,2.1,18.6,0.076,-1.3,2.2,2014
19,WAS,Jerian Grant,Notre Dame,5,279,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5,2015
19,DEN,Malik Beasley,Florida State,5,257,0.446,0.391,0.816,19.6,9.9,2.3,1.2,7.6,0.072,-1.1,1.2,2016
19,ATL,John Collins,Wake Forest,4,239,0.567,0.38,0.777,28.6,16.6,8.4,1.5,23.1,0.162,1.4,5.8,2017
19,ATL,Kevin Huerter,Maryland,3,200,0.422,0.376,0.783,29.7,11.2,3.5,3.3,6.6,0.053,-1.5,0.8,2018
20,CHA,Alexis Ajinça,,7,293,0.503,0.286,0.797,13.3,5.3,3.9,0.5,7.5,0.093,-2.8,-0.8,2008
20,UTA,Eric Maynor,VCU,5,267,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.041,-2.9,-0.8,2009
20,SAS,James Anderson,Oklahoma State,5,247,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.7,-0.8,2010
20,MIN,Donatas Motiejūnas,,6,251,0.469,0.3,0.597,18.2,7.3,3.8,1.1,7.1,0.075,-2.5,-0.5,2011
20,DEN,Evan Fournier,,9,565,0.45,0.379,0.805,28.5,14.3,2.8,2.7,26.8,0.08,-1,4.1,2012
20,CHI,Tony Snell,New Mexico,8,548,0.433,0.397,0.844,22.4,6.4,2.3,1.2,18.1,0.071,-1.9,0.3,2013
20,TOR,Bruno Caboclo,,7,105,0.403,0.308,0.836,12.3,4.2,2.6,0.7,1.5,0.054,-2.7,-0.2,2014
20,TOR,Delon Wright,Utah,6,334,0.453,0.35,0.792,21.3,7.8,3.3,3.2,19.2,0.129,2.1,7.3,2015
20,IND,Caris LeVert,Michigan,5,260,0.435,0.336,0.732,26.8,14.1,3.9,3.9,9.7,0.066,-0.4,2.7,2016
20,POR,Harry Giles,Duke,3,142,0.511,0.258,0.671,12.9,5.9,3.8,1.2,3,0.079,-2.5,-0.2,2017
20,MIN,Josh Okogie,Georgia Tech,3,195,0.403,0.273,0.766,23.1,7.3,3.3,1.3,4.7,0.05,-3,-1.2,2018
21,NJN,Ryan Anderson,California,12,649,0.422,0.38,0.854,25.8,12.3,5.3,0.9,46.7,0.134,1,12.8,2008
21,NOH,Darren Collison,UCLA,10,708,0.471,0.394,0.853,29.4,12.5,2.7,5,49.9,0.115,0.6,13.5,2009
21,OKC,Craig Brackins,Iowa State,2,17,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.9,-0.2,2010
21,POR,Nolan Smith,Duke,2,84,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,-6,-0.8,2011
21,BOS,Jared Sullinger,Ohio State,5,269,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,-0.4,2.7,2012
21,UTA,Gorgui Dieng,Louisville,8,553,0.501,0.357,0.793,21.5,7.8,6,1.4,29.5,0.119,0.3,6.9,2013
21,OKC,Mitch McGary,Michigan,2,52,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-2.6,-0.1,2014
21,DAL,Justin Anderson,Virginia,5,226,0.413,0.296,0.774,13.1,5.2,2.5,0.7,4.6,0.074,-1.4,0.5,2015
21,ATL,DeAndre' Bembry,Saint Joseph's,5,240,0.459,0.268,0.612,19.4,6.1,3.3,1.9,2.2,0.023,-2.7,-0.8,2016
21,OKC,Terrance Ferguson,,4,204,0.404,0.334,0.753,19.6,4.5,1.3,0.7,4.4,0.053,-4,-2.1,2017
21,UTA,Grayson Allen,Duke,3,126,0.423,0.381,0.832,19,8.5,2.1,1.5,3.9,0.078,-1.8,0.2,2018
22,ORL,Courtney Lee,Western Kentucky,12,811,0.451,0.388,0.853,27.1,9.6,2.6,1.7,39.3,0.086,-0.6,7.9,2008
22,POR,Victor Claver,,3,80,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011,-3.6,-0.4,2009
22,POR,Elliot Williams,Memphis,4,109,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-4.9,-1.1,2010
22,DEN,Kenneth Faried,Morehead State University,8,478,0.546,0.222,0.654,24.5,11.4,8.1,1,38.8,0.159,0.5,7.5,2011
22,BOS,Fab Melo,Syracuse,1,6,0.5,,0.25,6,1.2,0.5,0,0,0.021,-7.6,-0.1,2012
22,BRK,Mason Plumlee,Duke,8,588,0.579,0.051,0.572,22.1,8.5,6.5,2.4,39.5,0.146,1.4,11.3,2013
22,MEM,Jordan Adams,UCLA,2,32,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,1.7,0.2,2014
22,CHI,Bobby Portis,Arkansas,6,381,0.468,0.38,0.752,20.5,10.4,6.1,1.2,15.6,0.096,-0.8,2.3,2015
22,CHO,Malachi Richardson,Syracuse,3,70,0.358,0.301,0.783,8.9,2.8,1,0.3,-0.1,-0.009,-6.1,-0.7,2016
22,BRK,Jarrett Allen,Texas,4,285,0.611,0.2,0.696,25.4,10.7,8.3,1.3,26.5,0.175,1.2,5.8,2017
22,CHI,Chandler Hutchison,Boise State,3,97,0.441,0.309,0.638,18.2,5.7,3.8,0.8,1.2,0.032,-3.9,-0.9,2018
23,UTA,Kosta Koufos,Ohio State,11,686,0.534,0,0.582,16.4,5.7,5,0.5,28.3,0.12,-1.3,2,2008
23,SAC,Omri Casspi,,10,588,0.454,0.368,0.678,20.3,7.9,4,1.1,19.6,0.078,-0.8,3.5,2009
23,MIN,Trevor Booker,Clemson,8,532,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,-0.5,4.2,2010
23,HOU,Nikola Mirotić,,5,319,0.423,0.359,0.808,24.2,12.3,5.9,1.3,20.8,0.129,1.6,7.1,2011
23,ATL,John Jenkins,Vanderbilt,6,171,0.441,0.367,0.847,12.8,5,1.5,0.8,3,0.065,-1.9,0.1,2012
23,IND,Solomon Hill,Arizona,8,435,0.39,0.333,0.797,21.9,5.6,3.2,1.5,11.9,0.06,-2.2,-0.4,2013
23,UTA,Rodney Hood,Duke,7,396,0.422,0.367,0.839,25.9,11.3,2.7,1.8,16.7,0.078,-1.1,2.2,2014
23,POR,Rondae Hollis-Jefferson,Arizona,6,305,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,-0.7,2.3,2015
23,BOS,Ante Žižić,,3,113,0.581,,0.711,13.4,6,3.9,0.6,3.5,0.11,-2.6,-0.2,2016
23,TOR,OG Anunoby,Indiana,4,253,0.48,0.375,0.692,25,9.2,3.9,1.2,13.8,0.105,0,3.1,2017
23,IND,Aaron Holiday,UCLA,3,182,0.403,0.372,0.832,18.9,7.7,1.7,2.4,3.2,0.045,-2.5,-0.4,2018
24,SEA,Serge Ibaka,,12,849,0.514,0.359,0.759,28.3,12.5,7.3,0.8,70.8,0.141,0.6,15.5,2008
24,DAL,Byron Mullens,Ohio State,5,189,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,-4,-1.8,2009
24,ATL,Damion James,Texas,4,39,0.415,0,0.667,16,3.8,3.4,0.7,0,-0.001,-3.7,-0.3,2010
24,OKC,Reggie Jackson,Boston College,10,628,0.43,0.349,0.855,24.9,12.6,2.9,4.2,33.1,0.101,0.4,9.5,2011
24,CLE,Jared Cunningham,Oregon State,4,84,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.7,-0.6,2012
24,NYK,Tim Hardaway Jr.,Michigan,8,544,0.425,0.36,0.816,26.8,13.9,2.7,1.8,23.8,0.078,-0.9,4.1,2013
24,CHH,Shabazz Napier,UConn,6,345,0.397,0.345,0.815,17.4,7.1,1.9,2.5,8.1,0.065,-0.7,2,2014
24,CLE,Tyus Jones,Duke,6,382,0.431,0.34,0.818,17.9,5.7,1.6,3.6,14.2,0.1,0,3.5,2015
24,PHI,Timothé Luwawu-Cabarrot,,5,276,0.39,0.331,0.827,16.6,6.2,2.1,0.9,3.9,0.041,-4.2,-2.6,2016
24,UTA,Tyler Lydon,Syracuse,2,26,0.5,0.4,0.333,3.7,0.9,0.7,0.2,0.2,0.084,-4.3,-0.1,2017
24,POR,Anfernee Simons,,3,154,0.41,0.382,0.794,17.5,7.5,2,1.3,2,0.036,-3.2,-0.8,2018
25,HOU,Nicolas Batum,,13,856,0.436,0.36,0.841,31,11.3,5.2,3.6,59.7,0.108,1.6,24.2,2008
25,OKC,Rodrigue Beaubois,,4,182,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079,-0.1,1.4,2009
25,MEM,Dominique Jones,South Florida,3,80,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-2.4,-0.1,2010
25,BOS,MarShon Brooks,Providence,5,200,0.447,0.345,0.751,17.3,8,2.1,1.4,3.3,0.046,-1.6,0.4,2011
25,MEM,Tony Wroten,Washington,4,145,0.413,0.231,0.647,21.2,11.1,2.5,3,-1.3,-0.021,-3.4,-1.1,2012
25,LAC,Reggie Bullock,UNC,8,366,0.433,0.392,0.844,21.5,7.6,2.3,1.2,14.9,0.091,-0.6,2.7,2013
25,HOU,Clint Capela,,7,397,0.626,0,0.534,26.6,12.7,10.4,0.9,44.5,0.202,2,10.6,2014
25,MEM,Jarell Martin,LSU,4,184,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7,2015
25,LAC,Brice Johnson,UNC,2,21,0.449,0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0,2016
25,ORL,Anžejs Pasečņiks,,2,28,0.521,0,0.586,15.8,5.6,3.9,0.7,0.4,0.038,-6.2,-0.5,2017
25,LAL,Moritz Wagner,Michigan,3,133,0.48,0.315,0.817,15.1,6.8,3.4,1,3.1,0.075,-2.9,-0.4,2018
26,SAS,George Hill,IUPUI,13,815,0.458,0.384,0.803,27.5,11,3.1,3.2,66.9,0.143,1.4,19.1,2008
26,CHI,Taj Gibson,USC,12,844,0.518,0.218,0.71,24.9,9.3,6.2,1,56.2,0.128,-0.7,7.2,2009
26,OKC,Quincy Pondexter,Washington,7,355,0.423,0.356,0.746,15.6,4.5,1.8,0.7,9.7,0.084,-1.8,0.3,2010
26,DAL,Jordan Hamilton,Texas,5,151,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3,0.069,-0.1,1,2011
26,IND,Miles Plumlee,Duke,7,346,0.542,,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.9,0.2,2012
26,MIN,Andre Roberson,Colorado,7,307,0.473,0.253,0.468,22.2,4.5,4,0.9,12.6,0.089,-0.6,2.3,2013
26,MIA,P.J. Hairston,UNC,2,111,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1,2014
26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,2015
26,PHI,Furkan Korkmaz,,4,189,0.411,0.377,0.754,17.9,8,2.1,1.1,5.9,0.084,-1.2,0.7,2016
26,POR,Caleb Swanigan,Purdue,3,75,0.438,0.118,0.614,8.7,2.3,2.9,0.7,-0.2,-0.015,-6.2,-0.7,2017
26,PHI,Landry Shamet,Wichita State,3,193,0.416,0.397,0.834,24.1,9.2,1.8,1.6,8,0.083,-2,0,2018
27,NOH,Darrell Arthur,Kansas,9,503,0.444,0.352,0.765,17.8,6.5,3.5,0.8,12.3,0.066,-2.2,-0.4,2008
27,MEM,DeMarre Carroll,Missouri,11,578,0.43,0.358,0.741,23.7,8.9,4.2,1.3,29.5,0.104,0,6.7,2009
27,NJN,Jordan Crawford,Xavier,6,281,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-1.3,1.3,2010
27,NJN,JaJuan Johnson,Purdue,1,36,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-3.9,-0.1,2011
27,MIA,Arnett Moultrie,Mississippi State,2,59,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-2.8,-0.1,2012
27,DEN,Rudy Gobert,,8,545,0.645,0,0.63,29.7,12,11.3,1.3,74.9,0.222,3.9,24,2013
27,PHO,Bogdan Bogdanović,,4,253,0.441,0.388,0.816,28.4,14,3.3,3.5,12.5,0.084,0.2,4.1,2014
27,LAL,Larry Nance Jr.,Wyoming,6,350,0.529,0.333,0.687,24.2,8.3,6.7,1.9,22.2,0.125,1.2,6.8,2015
27,TOR,Pascal Siakam,New Mexico State,5,332,0.488,0.325,0.782,27.7,14.3,5.8,2.7,25.2,0.131,1.2,7.4,2016
27,BRK,Kyle Kuzma,Utah,4,276,0.448,0.338,0.727,29.7,15.2,5.6,1.9,12.2,0.072,-1.2,1.5,2017
27,BOS,Robert Williams,Texas A&M,3,113,0.72,0,0.623,14.7,5.7,5,1.1,8.5,0.247,5.1,3,2018
28,MEM,Donté Greene,Syracuse,4,253,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,-2.8,-0.9,2008
28,MIN,Wayne Ellington,UNC,12,727,0.41,0.382,0.843,21,8.1,2.2,1.1,20.1,0.063,-1.5,2,2009
28,MEM,Greivis Vásquez,Maryland,7,401,0.418,0.349,0.817,23.7,9,2.5,4.8,12.6,0.064,-1.2,1.9,2010
28,CHI,Norris Cole,Cleveland State University,6,360,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,-4.1,-4.1,2011
28,OKC,Perry Jones,Baylor,3,143,0.42,0.293,0.66,11.7,3.4,1.8,0.4,1.7,0.048,-3.5,-0.6,2012
28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,2013
28,LAC,C.J. Wilcox,Washington,3,66,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,-4.3,-0.2,2014
28,BOS,R.J. Hunter,Georgia State University,4,45,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,-2,0,2015
28,PHO,Skal Labissière,Kentucky,4,148,0.492,0.353,0.748,17.5,7.2,4.5,1,4.4,0.081,-2.3,-0.2,2016
28,LAL,Tony Bradley,UNC,4,112,0.649,0.429,0.676,12.6,5.4,4.8,0.6,6.1,0.208,0.9,1,2017
28,GSW,Jacob Evans,Cincinnati,2,59,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8,2018
29,DET,D.J. White,Indiana,6,138,0.507,0.333,0.72,15.3,5.9,3.2,0.6,3.8,0.087,-2.1,0,2008
29,LAL,Toney Douglas,Florida State,8,394,0.404,0.354,0.824,19.1,7.6,2.2,2.3,12.1,0.077,-0.8,2.2,2009
29,ORL,Daniel Orton,Kentucky,3,51,0.485,0,0.597,10.6,2.8,2.5,0.5,1,0.093,-3.5,-0.2,2010
29,SAS,Cory Joseph,Texas,10,663,0.444,0.333,0.774,22,7,2.6,2.9,26.2,0.086,-1,3.8,2011
29,CHI,Marquis Teague,Kentucky,3,91,0.343,0.222,0.661,10,2.4,1,1.5,-0.9,-0.045,-6.5,-1,2012
29,OKC,Archie Goodwin,Kentucky,4,165,0.429,0.236,0.7,14.5,6.3,2,1.2,1.1,0.022,-3,-0.6,2013
29,OKC,Josh Huestis,Stanford,3,76,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.5,-0.4,2014
29,BRK,Chris McCullough,Syracuse,3,59,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1,2015
29,SAS,Dejounte Murray,Washington,4,252,0.452,0.332,0.758,23.4,10.1,5.4,3.6,9.1,0.074,0.2,3.3,2016
29,SAS,Derrick White,Colorado,4,188,0.452,0.357,0.825,24.5,10.8,3.2,3.4,10.2,0.106,1.1,3.6,2017
29,BRK,Džanan Musa,,2,49,0.376,0.227,0.726,10.7,4.3,1.9,0.9,0,0.003,-4.6,-0.4,2018
30,BOS,J.R. Giddens,New Mexico,2,38,0.476,0,0.565,6.5,1.9,1.4,0.3,0.1,0.027,-4.3,-0.1,2008
30,CLE,Christian Eyenga,,2,51,0.411,0.277,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4.2,-0.6,2009
30,WAS,Lazar Hayward,Marquette,3,72,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.2,-0.3,2010
30,CHI,Jimmy Butler,Marquette,10,633,0.458,0.327,0.838,33.1,17.4,5.2,4,84.4,0.194,4.5,34.2,2011
30,GSW,Festus Ezeli,Vanderbilt,3,170,0.513,,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-2,0,2012
30,PHO,Nemanja Nedović,,1,24,0.205,0.167,0.875,5.9,1.1,0.6,0.5,-0.4,-0.132,-10,-0.3,2013
30,SAS,Kyle Anderson,UCLA,7,436,0.483,0.335,0.724,20.9,6.5,4.2,2.3,23.5,0.124,1.8,8.7,2014
30,GSW,Kevon Looney,UCLA,6,285,0.566,0.175,0.609,15,4.3,4,1.2,13.7,0.153,-0.8,1.3,2015
30,GSW,Damian Jones,Vanderbilt,5,143,0.669,0.214,0.691,14.1,4.6,3.1,0.7,5.9,0.141,-1.5,0.3,2016
30,UTA,Josh Hart,Villanova,4,242,0.432,0.348,0.728,26,8.7,5.4,1.6,11.4,0.087,-0.8,1.9,2017
30,ATL,Omari Spellman,Villanova,2,95,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2,2018
31,MIN,Nikola Peković,,6,271,0.518,,0.76,24.9,12.6,6.7,0.7,18.8,0.134,-0.7,2.2,2008
31,SAC,Jeff Ayres,Arizona State,6,237,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3,0.131,-2.3,-0.2,2009
31,NJN,Tibor Pleiß,,1,12,0.44,0,1,6.8,2,1.3,0.2,-0.1,-0.041,-11.6,-0.2,2010
31,MIA,Bojan Bogdanović,,7,534,0.457,0.393,0.862,28.8,14.6,3.5,1.5,27.8,0.087,-1.1,3.6,2011
31,CHA,Jeff Taylor,Vanderbilt,3,132,0.409,0.319,0.665,19.4,6.1,2,0.8,1.3,0.024,-4.2,-1.5,2012
31,CLE,Allen Crabbe,California,7,381,0.425,0.387,0.831,24,9.1,2.8,1.1,13.7,0.072,-1.6,0.9,2013
31,MIL,Damien Inglis,,1,20,0.351,0.231,0.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-5.6,-0.1,2014
31,MIN,Cedi Osman,,4,261,0.42,0.347,0.736,25,9.8,3.5,2.2,4.4,0.032,-2.9,-1.5,2015
31,BOS,Deyonta Davis,Michigan State,3,107,0.599,0,0.635,12.1,4.2,3.2,0.4,3.6,0.131,-2.1,0,2016
31,CHO,Frank Jackson,Duke,3,160,0.431,0.348,0.767,16.9,7.9,1.9,1,1.8,0.031,-4.2,-1.5,2017
31,PHO,Elie Okobo,,2,108,0.395,0.315,0.737,15.5,4.8,1.7,2.2,0.5,0.014,-4.1,-0.9,2018
32,SEA,Walter Sharpe,UAB,1,8,0.364,0,0,2.5,1,0.4,0,-0.1,-0.131,-10.1,0,2008
32,WAS,Jermaine Taylor,Central Florida,2,65,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.014,-3.7,-0.3,2009
32,MIA,Dexter Pittman,Texas,4,50,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-7.7,-0.5,2010
32,CLE,Justin Harper,Richmond,3,22,0.34,0.276,0.333,6.8,2,0.8,0.2,-0.3,-0.093,-8.7,-0.2,2011
32,WAS,Tomáš Satoranský,,5,333,0.477,0.366,0.822,23.2,7.4,3,4.2,16.9,0.105,-0.6,2.8,2012
32,OKC,Álex Abrines,,3,174,0.387,0.368,0.88,16,5.3,1.4,0.5,5,0.086,-1.9,0.1,2013
32,PHI,K.J. McDaniels,Clemson,3,148,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3,0.03,-2.8,-0.4,2014
32,HOU,Montrezl Harrell,Louisville,6,387,0.616,0.083,0.65,21.2,12.8,5.2,1.3,33.4,0.195,2.6,9.6,2015
32,LAL,Ivica Zubac,,5,284,0.588,0.1,0.766,17.6,7.8,6,1,18.9,0.181,0.5,3.1,2016
32,PHO,Davon Reed,Miami (FL),2,31,0.307,0.31,0.667,9.3,2.4,1.5,0.5,-0.2,-0.039,-6.3,-0.3,2017
32,MEM,Jevon Carter,West Virginia,3,157,0.386,0.381,0.803,14.3,4.5,1.8,1.4,3.3,0.072,-0.6,0.8,2018
33,POR,Joey Dorsey,Memphis,4,130,0.534,0,0.375,11.4,2.6,3.9,0.4,2.9,0.092,-2.7,-0.3,2008
33,POR,Dante Cunningham,Villanova,10,715,0.469,0.345,0.649,20.8,5.8,3.7,0.7,24.9,0.08,-1.7,1.1,2009
33,SAC,Hassan Whiteside,Marshall,9,446,0.581,0.308,0.603,25.7,13.3,11.3,0.7,46.2,0.193,2.6,13.3,2010
33,DET,Kyle Singler,Duke,6,356,0.418,0.362,0.786,21.9,6.5,2.9,0.8,10,0.062,-2.5,-0.9,2011
33,CLE,Bernard James,Florida State,3,92,0.497,0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.8,0,2012
33,CLE,Carrick Felix,Arizona State,1,7,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0,0.057,-3.4,0,2013
33,CLE,Joe Harris,Virginia,7,400,0.484,0.438,0.779,25.4,11.1,3.2,1.7,20,0.094,-0.6,3.7,2014
33,BOS,Jordan Mickey,LSU,3,64,0.449,0.118,0.605,7.5,2.4,2,0.3,0.5,0.05,-4.8,-0.3,2015
33,LAC,Cheick Diallo,Kansas,4,180,0.598,0.286,0.772,12,5.3,4.2,0.4,6.3,0.14,-1.3,0.4,2016
33,ORL,Wesley Iwundu,Kansas State,4,223,0.407,0.286,0.799,16.8,4.3,2.4,0.9,4.2,0.053,-3.8,-1.8,2017
33,DAL,Jalen Brunson,Villanova,3,198,0.489,0.373,0.775,21.8,10.1,2.7,3.3,9.8,0.109,-0.6,1.5,2018
34,MIN,Mario Chalmers,Kansas,9,646,0.417,0.351,0.793,26.7,8.9,2.5,3.7,32.3,0.09,-0.6,5.9,2008
34,DEN,Sergio Llull,,,,,,,,,,,,,,,2009
34,POR,Armon Johnson,Nevada,2,47,0.458,0.4,0.679,8.5,3.3,1,1.2,-0.1,-0.015,-4.1,-0.2,2010
34,WAS,Shelvin Mack,Butler,8,456,0.423,0.33,0.731,18.4,6.6,2,3.1,10.3,0.059,-1.9,0.1,2011
34,CLE,Jae Crowder,Marquette,9,668,0.419,0.346,0.777,25,9.6,4.2,1.6,35.9,0.103,0.2,9.3,2012
34,HOU,Isaiah Canaan,Murray State,6,235,0.371,0.351,0.836,20.4,8.1,1.9,1.9,4.3,0.043,-2.4,-0.5,2013
34,NYK,Cleanthony Early,Wichita State,2,56,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.9,-0.8,2014
34,LAL,Anthony Brown,Stanford,3,41,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6,2015
34,PHO,Tyler Ulis,Kentucky,3,133,0.403,0.28,0.808,20.9,7.5,1.7,4,0.5,0.008,-3.6,-1.1,2016
34,SAC,Frank Mason III,Kansas,4,103,0.396,0.301,0.755,15.7,6.7,2,2.6,1.2,0.035,-2.7,-0.3,2017
34,ATL,Devonte' Graham,Kansas,3,164,0.376,0.364,0.822,27.7,13.3,2.6,5.4,7.3,0.077,-0.2,2.1,2018
35,LAC,DeAndre Jordan,Texas A&M,13,932,0.674,0.083,0.475,27.4,9.4,10.6,1,92.5,0.174,1.4,21.7,2008
35,DET,DaJuan Summers,Georgetown,4,83,0.384,0.367,0.642,9.9,3.3,1,0.3,-0.1,-0.008,-5.8,-0.8,2009
35,WAS,Nemanja Bjelica,,6,378,0.465,0.387,0.765,21.2,7.9,4.6,1.8,16.9,0.101,0.2,4.3,2010
35,SAC,Tyler Honeycutt,UCLA,2,24,0.314,0.2,0.714,5,1.2,1,0.4,-0.1,-0.049,-5.1,-0.1,2011
35,GSW,Draymond Green,Michigan State,9,639,0.436,0.316,0.715,28.5,8.8,6.9,5.3,49,0.129,2.6,21.3,2012
35,PHI,Glen Rice Jr.,Georgia Tech,2,16,0.269,0.25,0.692,9.5,2.7,1.5,0.6,-0.2,-0.065,-6.6,-0.2,2013
35,UTA,Jarnell Stokes,Tennessee,3,28,0.581,,0.531,5.4,2.4,1.4,0.3,0.6,0.202,0.1,0.1,2014
35,PHI,Willy Hernangómez,,5,256,0.537,0.306,0.683,15,7.1,5.7,1,11.5,0.143,0.1,2,2015
35,BOS,Rade Zagorac,,,,,,,,,,,,,,,2016
35,ORL,Ivan Rabb,California,2,85,0.555,0.2,0.743,14.6,5.7,4.3,1,3.2,0.125,-1.7,0.1,2017
35,ORL,Melvin Frazier,Tulane,2,29,0.4,0.364,0.375,5.9,1.9,0.5,0.1,0,0.008,-5.4,-0.2,2018
36,POR,Ömer Aşık,,8,471,0.528,0,0.551,19.6,5.3,7.1,0.6,20.9,0.109,-1.9,0.1,2008
36,MEM,Sam Young,Pitt,4,249,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.1,-0.1,2009
36,DET,Terrico White,Ole Miss,,,,,,,,,,,,,,2010
36,NJN,Jordan Williams,Maryland,1,43,0.507,,0.652,14.8,4.6,3.6,0.3,1.3,0.101,-2.1,0,2011
36,SAC,Orlando Johnson,UC Santa Barbara,3,103,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-2.4,-0.1,2012
36,SAC,Ray McCallum,Detroit Mercy,3,154,0.408,0.335,0.711,18.2,6,2,2.4,2.1,0.035,-2.6,-0.4,2013
36,MIL,Johnny O'Bryant,LSU,4,147,0.402,0.36,0.663,11.5,3.5,2.4,0.5,0.2,0.006,-6.2,-1.8,2014
36,MIN,Rakeem Christmas,Syracuse,2,30,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4.7,-0.2,2015
36,MIL,Malcolm Brogdon,Virginia,5,297,0.466,0.386,0.887,29.8,15.1,4.1,4.7,21.5,0.117,0.8,6.4,2016
36,PHI,Jonah Bolden,,2,51,0.486,0.34,0.484,13.5,4.3,3.4,0.8,1.4,0.098,-1.3,0.1,2017
36,NYK,Mitchell Robinson,,3,158,0.705,,0.568,22.9,8.4,7,0.6,16.3,0.216,2.3,3.9,2018
37,MIL,Luc Mbah a Moute,UCLA,12,689,0.454,0.334,0.659,23.3,6.4,4.1,0.9,26,0.078,-1.5,2,2008
37,SAS,DeJuan Blair,Pitt,7,424,0.524,0,0.608,16.6,6.8,5.1,0.8,19,0.129,-1.2,1.4,2009
