ID,active_from,active_to,birth_date,college,height (in),name,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,NBA Games Played,fg%,ppg,effective pct,height/weight,3pt %,Success
350,2011,2018,9-Dec-89,University of Kentucky,73,Eric Bledsoe,G,205,2.9,0.337,1,0.495,0.449,4.8,10.8,0.798,3.1,3.9,490,13.8,3.5,0.383,1.3,0.54,8.4,0.462,3.9,0.667,3.3,2.2,37,11.3,0.034801136,0.0898,0.137541528,0.066,0.071219512,0.0337,0.433062177
356,2014,2018,17-Jul-92,Marquette University,76,Vander Blue,G,200,1.3,0.154,0.2,0.333,0.308,1.2,3.9,0.333,0.4,1.2,10,3,1.8,0.277,0.5,0.46,7.7,0.429,3.3,0.704,3,2.1,106,9.3,0.000710227,0.0616,0.029900332,0.0444,0.076,0.0154,0.228010559
359,2005,2005,22-Oct-79,University of Cincinnati,76,Tony Bobbitt,G,190,1,0.5,0.5,0.5,0.4,1,2.5,,0,0,2,2.5,5.7,0.375,2.2,0.55,8.8,0.423,3.7,0.839,1.6,1.3,59,10.9,0.000142045,0.08,0.024916944,0.066666667,0.08,0.05,0.301725656
362,2004,2014,12-May-80,University of Kentucky,77,Keith Bogans,G-F,215,3,0.353,1.1,0.489,0.394,2.2,5.6,0.716,0.9,1.2,671,6.3,5.5,0.342,1.9,0.52,11.4,0.437,5,0.688,3.5,2.4,135,14.2,0.04765625,0.0788,0.062790698,0.0652,0.071627907,0.0353,0.361374855
365,1988,2001,9-Jan-65,Wake Forest University,63,Muggsy Bogues,G,136,0.4,0.278,0.1,0.467,0.458,3.2,7,0.827,1.2,1.4,889,7.7,2.7,0.443,1.2,0.55,6.9,0.473,3.2,0.749,2,1.5,119,8.3,0.063139205,0.0916,0.076744186,0.062266667,0.092647059,0.0278,0.414197116
370,2017,2018,28-Jan-94,Weber State University,81,Joel Bolomboy,F,235,0.3,0.2,0.1,0.568,0.545,0.7,1.2,0.5,0.3,0.7,18,1.7,0.7,0.371,0.3,0.55,7.2,0.528,3.8,0.713,5,3.6,130,11.4,0.001278409,0.109,0.016943522,0.075733333,0.06893617,0.02,0.291891434
374,1993,1995,1-Feb-69,University of Minnesota,77,Walter Bond,G,200,0.9,0.299,0.3,0.434,0.409,2.2,5.3,0.767,1.1,1.5,153,5.7,0.9,0.256,0.2,0.5,6.2,0.48,3,0.635,1.7,1.1,103,7.3,0.010866477,0.0818,0.056810631,0.057866667,0.077,0.0299,0.314243775
375,1997,1997,27-Apr-70,"University of Nevada, Las Vegas",76,Dexter Boney,G,185,0.8,0.167,0.1,0.342,0.316,0.8,2.4,0.75,0.8,1,8,2.4,3.3,0.373,1.2,0.55,11.2,0.504,5.6,0.619,4.2,2.6,56,15.1,0.000568182,0.0632,0.023920266,0.0456,0.082162162,0.0167,0.23215061
377,1991,1996,8-Jun-68,Saint Louis University,80,Anthony Bonner,F,215,0.1,0.125,0,0.469,0.468,2.8,5.9,0.59,1.4,2.3,318,6.9,0.1,0.333,0,0.54,10.8,0.539,5.8,0.634,5,3.2,133,14.8,0.022585227,0.0936,0.068770764,0.062533333,0.074418605,0.0125,0.334407929
378,2005,2016,5-Apr-80,University of Florida,82,Matt Bonner,F,235,2.4,0.414,1,0.57,0.464,2.2,4.8,0.78,0.4,0.5,792,5.8,3.2,0.395,1.3,0.57,8.8,0.503,4.4,0.74,2.5,1.9,131,12,0.05625,0.0928,0.057807309,0.076,0.069787234,0.0414,0.394044543
380,2016,2018,30-Oct-96,University of Kentucky,78,Devin Booker,G,206,5.2,0.365,1.9,0.485,0.426,6.9,16.1,0.849,4.2,4.9,208,19.8,3.7,0.411,1.5,0.57,7.6,0.47,3.6,0.828,1.7,1.4,38,10,0.014772727,0.0852,0.197342193,0.064666667,0.075728155,0.0365,0.474209742
381,1996,1997,20-Aug-72,University of Missouri,73,Melvin Booker,G,185,1.8,0.268,0.5,0.448,0.4,1.9,4.8,0.871,0.8,1,32,5.2,3.7,0.392,1.5,0.54,9.7,0.466,4.5,0.789,3.9,3.1,125,13.6,0.002272727,0.08,0.051827243,0.059733333,0.078918919,0.0268,0.299552222
382,2011,2018,25-Nov-87,Clemson University,80,Trevor Booker,F,228,0.5,0.307,0.1,0.529,0.516,2.9,5.6,0.636,1,1.5,531,6.9,0.5,0.324,0.2,0.57,9.2,0.559,5.1,0.624,3.9,2.4,134,12.9,0.037713068,0.1032,0.068770764,0.070533333,0.070175439,0.0307,0.381092604
386,1998,1999,9-Oct-74,University of Maryland,78,Keith Booth,F,226,0.2,0.091,0,0.328,0.325,1.1,3.5,0.563,0.6,1.1,45,2.9,0.8,0.21,0.2,0.47,10.2,0.456,4.7,0.699,6.5,4.6,126,14.1,0.003196023,0.065,0.028903654,0.043733333,0.069026549,0.0091,0.218959559
394,2004,2016,24-Mar-84,Georgia Institute of Technology,83,Chris Bosh,F-C,235,1,0.335,0.3,0.506,0.494,7,14.1,0.799,5,6.3,893,19.2,1.5,0.478,0.7,0.59,9.7,0.56,5.4,0.73,5.6,4.1,31,15.6,0.063423295,0.0988,0.191362126,0.067466667,0.070638298,0.0335,0.525190386
