ID,active_from,active_to,birth_date,college,height (in),name,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,NBA Games Played,fg%,ppg,effective pct,height/weight,3pt %,Success
951,2010,2015,5-Jun-88,Gonzaga University,83,Austin Daye,F,220,1.8,0.351,0.6,0.469,0.402,1.9,4.8,0.778,0.7,0.9,293,5.2,2.2,0.422,0.9,0.53,8.6,0.477,4.1,0.79,3.1,2.5,67,11.6,0.020809659,0.0804,0.051827243,0.062533333,0.075454545,0.0351,0.32612478
958,2014,2018,12-Aug-89,University of Southern California,85,Dewayne Dedmon,C,245,0.5,0.355,0.2,0.574,0.552,2.2,4,0.692,0.8,1.2,285,5.5,0.1,0,0,0.52,5.8,0.52,3,0.614,1.7,1.1,51,7.1,0.020241477,0.1104,0.054817276,0.076533333,0.069387755,0.0355,0.366879841
961,1994,1999,12-Sep-71,Seton Hall University,74,Terry Dehere,G,190,2.2,0.378,0.8,0.473,0.411,2.7,6.5,0.779,1.8,2.4,402,8,6.3,0.389,2.5,0.53,13.9,0.442,6.1,0.822,5.8,4.8,128,19.5,0.028551136,0.0822,0.079734219,0.063066667,0.077894737,0.0378,0.369246759
963,2016,2016,21-Aug-92,"University of Southern California, University of Nevada, Las Vegas, Iowa State University",78,Bryce Dejean-Jones,G,209,2.3,0.375,0.9,0.493,0.406,2,4.9,0.524,0.8,1.5,14,5.6,3.1,0.336,1,0.49,8.8,0.429,3.8,0.684,3.3,2.3,117,10.8,0.000994318,0.0812,0.055813953,0.065733333,0.074641148,0.0375,0.315882753
964,2016,2018,6-May-94,University of Wisconsin,81,Sam Dekker,F,230,1.6,0.283,0.5,0.529,0.477,2.1,4.5,0.612,0.5,0.8,151,5.2,3.6,0.348,1.3,0.56,9,0.493,4.4,0.695,2.8,2,113,12.1,0.010724432,0.0954,0.051827243,0.070533333,0.070434783,0.0283,0.32721979
965,1989,2002,9-Aug-66,North Carolina State University,76,Vinny Del Negro,G,185,0.9,0.359,0.3,0.495,0.475,3.7,7.8,0.84,1.4,1.7,771,9.1,2.2,0.447,1,0.58,6.6,0.502,3.3,0.825,2.2,1.8,103,9.1,0.054758523,0.095,0.090697674,0.066,0.082162162,0.0359,0.424518359
966,2017,2018,11-Mar-89,Virginia Polytechnic Institute and State University,75,Malcolm Delaney,G,190,1.8,0.308,0.6,0.431,0.377,2,5.3,0.805,1.2,1.5,127,5.7,5.3,0.363,1.9,0.48,11.7,0.401,4.7,0.845,6.3,5.3,136,16.6,0.009019886,0.0754,0.056810631,0.057466667,0.078947368,0.0308,0.308444553
969,1997,2006,28-Jan-74,University of Kentucky,73,Tony Delk,G,189,2.5,0.343,0.9,0.459,0.408,3.4,8.4,0.769,1.4,1.8,545,9.1,5.4,0.397,2.1,0.57,10.8,0.474,5.1,0.709,2.6,1.8,133,14.2,0.038707386,0.0816,0.090697674,0.0612,0.077248677,0.0343,0.383753738
970,2014,2018,8-Sep-90,Saint Mary's College of California,76,Matthew Dellavedova,G,198,2.6,0.388,1,0.483,0.391,2.1,5.5,0.839,0.7,0.8,328,6,5.6,0.378,2.1,0.51,10.5,0.415,4.3,0.86,4,3.4,136,14.2,0.023295455,0.0782,0.059800664,0.0644,0.076767677,0.0388,0.341263796
972,1989,1989,24-Jan-66,University of Wyoming,77,Fennis Dembo,F,215,0.1,0,0,0.333,0.333,0.5,1.4,0.8,0.3,0.3,31,1.2,5.5,0.396,2.2,0.6,12.6,0.506,6.4,0.77,5.3,4,129,17.9,0.002201705,0.0666,0.011960133,0.0444,0.071627907,0,0.196789744
974,1994,1997,12-Feb-70,University of the Pacific,75,Dell Demps,G,205,0.2,0.333,0.1,0.512,0.5,1.1,2.1,0.762,0.8,1.1,20,3,5.1,0.394,2,0.54,11.4,0.455,5.2,0.695,4,2.7,115,15.1,0.001420455,0.1,0.029900332,0.068266667,0.073170732,0.0333,0.306058185
976,2005,2018,16-Apr-85,Duke University,81,Luol Deng,F,220,2.2,0.332,0.7,0.484,0.455,5.8,12.7,0.77,2.7,3.6,880,15,3,0.36,1.1,0.53,11.9,0.476,5.7,0.71,3.7,2.6,37,15.1,0.0625,0.091,0.149501661,0.064533333,0.073636364,0.0332,0.474371358
979,2012,2013,5-Sep-85,University of Washington,71,Justin Dentmon,G,185,1.8,0.143,0.3,0.367,0.333,1.3,3.8,0.667,0.5,0.8,8,3.3,2.9,0.349,1,0.49,8,0.428,3.4,0.789,3.6,2.8,133,10.7,0.000568182,0.0666,0.032890365,0.048933333,0.076756757,0.0143,0.240048637
983,2010,2018,7-Aug-89,University of Southern California,79,DeMar DeRozan,G-F,221,1.7,0.289,0.5,0.463,0.448,7,15.6,0.827,5.2,6.3,673,19.7,1,0.167,0.2,0.53,10.5,0.523,5.5,0.646,4.2,2.7,35,13.9,0.047798295,0.0896,0.196345515,0.061733333,0.071493213,0.0289,0.495870356
987,2000,2004,20-Dec-75,Eastern Michigan University,76,Derrick Dial,G,184,0.5,0.19,0.1,0.386,0.372,1.3,3.4,0.672,0.5,0.7,82,3.1,4.7,0.377,1.8,0.56,11.8,0.48,5.7,0.774,3.1,2.4,122,15.5,0.005823864,0.0744,0.03089701,0.051466667,0.082608696,0.019,0.264196236
990,2007,2010,29-Aug-82,Pepperdine University,79,Yakhouba Diawara,G-F,225,2.2,0.301,0.7,0.45,0.357,1.2,3.5,0.65,0.4,0.6,187,3.5,2.2,0.343,0.8,0.49,11.9,0.456,5.4,0.65,5.9,3.8,45,15.5,0.01328125,0.0714,0.034883721,0.06,0.070222222,0.0301,0.279887193
991,2008,2008,4-Mar-85,University of Miami,74,Guillermo Diaz,G,192,0.2,0,0,0.25,0.25,0.2,0.7,0.6,0.5,0.8,6,0.8,4.9,0.38,1.9,0.52,12.4,0.448,5.5,0.74,3.9,2.9,93,15.9,0.000426136,0.05,0.007973422,0.033333333,0.077083333,0,0.168816225
992,2003,2008,16-Sep-78,"University of Washington, Gonzaga University",73,Dan Dickau,G,190,1.8,0.341,0.6,0.46,0.401,2,5.1,0.831,1.2,1.4,300,5.8,4.8,0.462,2.2,0.57,8.7,0.451,3.9,0.854,3.8,3.3,97,13.3,0.021306818,0.0802,0.057807309,0.061333333,0.076842105,0.0341,0.331589566
993,2004,2008,21-Jul-78,"Tyler Junior College, University of Idaho",80,Kaniel Dickens,F,215,0.5,0.333,0.2,0.475,0.4,0.4,1.1,0.75,0.2,0.2,19,1.2,0.7,0.351,0.2,0.49,6.9,0.483,3.3,0.63,3.8,2.4,55,9.3,0.001349432,0.08,0.011960133,0.063333333,0.074418605,0.0333,0.264361503
995,1999,2003,25-Jun-75,University of Arizona,77,Michael Dickerson,G-F,190,3.4,0.402,1.4,0.483,0.432,5.8,13.3,0.784,2.5,3.2,212,15.4,3.2,0.367,1.2,0.51,11.2,0.458,5.1,0.728,3.2,2.3,130,13.8,0.015056818,0.0864,0.153488372,0.0644,0.081052632,0.0402,0.440597822
1000,2006,2010,1-Mar-82,Marquette University,73,Travis Diener,G,175,2.6,0.353,0.9,0.495,0.388,1.7,4.3,0.847,0.5,0.6,179,4.8,5.7,0.413,2.4,0.54,10.2,0.416,4.3,0.837,3.8,3.2,120,14.1,0.012713068,0.0776,0.047840532,0.066,0.083428571,0.0353,0.322882171
1010,1990,1991,15-Jun-67,University of North Carolina at Charlotte,73,Byron Dinkins,G,170,0.2,0.111,0,0.409,0.406,1.3,3.2,0.872,0.8,0.9,45,3.4,4.5,0.343,1.5,0.51,12,0.45,5.4,0.697,3,2.1,118,14,0.003196023,0.0812,0.033887043,0.054533333,0.085882353,0.0111,0.269798752
1014,2015,2018,6-Apr-93,University of Colorado,78,Spencer Dinwiddie,G,200,3.3,0.315,1,0.457,0.387,2.8,7.3,0.797,2.1,2.7,184,8.8,3.5,0.386,1.3,0.51,8,0.42,3.4,0.83,5.9,4.9,86,13,0.013068182,0.0774,0.087707641,0.060933333,0.078,0.0315,0.348609156
1020,2003,2009,9-Oct-78,University of Maryland,75,Juan Dixon,G,164,2.2,0.341,0.8,0.461,0.413,3.2,7.8,0.833,1.3,1.5,436,8.4,4.4,0.389,1.7,0.54,12.1,0.468,5.7,0.85,3.6,3,141,16.1,0.030965909,0.0826,0.08372093,0.061466667,0.091463415,0.0341,0.384316921
1028,1988,1988,30-May-65,Providence College,71,Billy Donovan,G,171,0.2,0,0,0.404,0.404,1,2.5,0.81,0.4,0.5,44,2.4,7,0.409,2.9,0.64,8,0.461,3.7,0.813,3.3,2.7,122,10.9,0.003125,0.0808,0.023920266,0.053866667,0.083040936,0,0.244752868
1030,2001,2013,8-May-80,University of Missouri,75,Keyon Dooling,G,196,1.8,0.349,0.6,0.467,0.416,2.5,6,0.799,1.4,1.7,728,7,3.4,0.338,1.1,0.47,9.2,0.411,3.8,0.733,4.7,3.4,59,12.1,0.051704545,0.0832,0.069767442,0.062266667,0.076530612,0.0349,0.378369266
1034,2018,2018,14-Feb-96,University of Oregon,77,Tyler Dorsey,G,183,3.5,0.351,1.2,0.464,0.372,2.5,6.7,0.721,0.8,1.1,55,7.1,5,0.416,2.1,0.57,10,0.455,4.6,0.732,3.9,2.9,75,14.1,0.00390625,0.0744,0.07076412,0.061866667,0.084153005,0.0351,0.330190042
1035,2018,2018,6-May-94,"University of Oregon, University of Houston",78,Damyean Dotson,G,205,1.4,0.322,0.5,0.51,0.444,1.5,3.4,0.722,0.3,0.4,42,3.8,4.8,0.38,1.8,0.55,10.4,0.464,4.8,0.796,1.9,1.5,134,12.9,0.002982955,0.0888,0.037873754,0.068,0.076097561,0.0322,0.30595427
1036,2007,2009,16-May-84,Rutgers University,75,Quincy Douby,G,175,1.5,0.312,0.5,0.448,0.389,1.6,4,0.884,0.5,0.6,143,4.1,6.8,0.389,2.6,0.52,14.1,0.432,6.1,0.82,3.6,2.9,95,17.8,0.01015625,0.0778,0.040863787,0.059733333,0.085714286,0.0312,0.305467656
1037,1987,1987,9-Apr-64,University of Illinois at Urbana-Champaign,75,Bruce Douglas,G,195,0.1,0,0,0.292,0.292,0.9,3,0,0,0.5,8,1.8,0.1,0.25,0,0.44,8.8,0.446,3.9,0.743,2.4,1.8,130,9.7,0.000568182,0.0584,0.017940199,0.038933333,0.076923077,0,0.192764791
1040,1990,2001,15-Sep-66,Syracuse University,73,Sherman Douglas,G,180,0.8,0.267,0.2,0.495,0.484,4.4,9,0.678,2.1,3.1,765,11,1.9,0.332,0.6,0.57,10.7,0.538,5.8,0.695,4.1,2.9,138,14.9,0.054332386,0.0968,0.109634551,0.066,0.081111111,0.0267,0.434578049
1041,2010,2017,16-Mar-86,"Auburn University, Florida State University",74,Toney Douglas,G,195,3.2,0.354,1.1,0.486,0.404,2.8,6.9,0.824,1,1.2,394,7.6,4.9,0.376,1.8,0.51,12.9,0.442,5.7,0.802,4.4,3.6,130,16.8,0.027982955,0.0808,0.075747508,0.0648,0.075897436,0.0354,0.360627899
1042,2009,2015,8-Jan-87,University of Memphis,79,Chris Douglas-Roberts,G,200,1.1,0.329,0.4,0.471,0.439,2.6,5.9,0.831,1.5,1.8,222,7.1,1.8,0.372,0.7,0.58,9.4,0.54,5.1,0.725,4.6,3.3,109,14.2,0.015767045,0.0878,0.07076412,0.0628,0.079,0.0329,0.349031165
1045,2011,2011,10-Sep-84,Virginia Polytechnic Institute and State University,75,Zabian Dowdell,G,191,0.4,0.3,0.1,0.42,0.408,2.1,5.2,0.941,0.7,0.7,24,5,4.7,0.367,1.7,0.5,11.9,0.43,5.1,0.745,3.6,2.7,122,14.6,0.001704545,0.0816,0.049833887,0.056,0.078534031,0.03,0.297672464
1049,2018,2018,31-Oct-93,Loyola University of Chicago,76,Milton Doyle,G,185,1.9,0.133,0.3,0.281,0.25,1,4,0.4,0.3,0.6,8,2.5,3.4,0.344,1.2,0.49,10.2,0.438,4.4,0.718,4.5,3.2,121,13.3,0.000568182,0.05,0.024916944,0.037466667,0.082162162,0.0133,0.208413954
1051,1990,1990,29-Jun-66,University of South Carolina,81,Terry Dozier,F,210,0.1,0,0,0.333,0.333,1,3,0.5,0.4,0.9,9,2.4,0.9,0.342,0.3,0.49,11.3,0.477,5.4,0.759,3.8,2.9,104,13.9,0.000639205,0.0666,0.023920266,0.0444,0.077142857,0,0.212702327
1055,1999,2004,21-Sep-74,Valparaiso University,74,Bryce Drew,G,185,1.7,0.371,0.6,0.451,0.382,1.7,4.5,0.83,0.4,0.5,243,4.4,6.9,0.435,3,0.57,12.8,0.449,5.8,0.834,3.8,3.2,121,17.7,0.017258523,0.0764,0.043853821,0.060133333,0.08,0.0371,0.314745677
1058,2015,2018,5-Mar-90,"University of North Carolina, University of California, Los Angeles",74,Larry Drew,G,180,1.6,0.2,0.3,0.372,0.329,1.2,3.7,0.667,0.1,0.1,22,2.9,1.8,0.343,0.6,0.47,4.9,0.412,2,0.601,1.5,0.9,131,5.5,0.0015625,0.0658,0.028903654,0.0496,0.082222222,0.02,0.248088377
1064,2013,2018,10-Aug-93,University of Connecticut,83,Andre Drummond,C,279,0.1,0.167,0,0.545,0.545,5.8,10.6,0.421,2,4.7,463,13.6,0.1,0,0,0.53,8.6,0.538,4.6,0.295,2.6,0.8,34,10,0.032883523,0.109,0.135548173,0.072666667,0.059498208,0.0167,0.42629657
1069,2008,2018,10-Jul-85,Boston College,79,Jared Dudley,F-G,225,2.6,0.396,1,0.549,0.467,2.9,6.2,0.733,1.1,1.6,787,8,2.5,0.365,0.9,0.55,10.5,0.504,5.3,0.731,6,4.4,130,15.9,0.055894886,0.0934,0.079734219,0.0732,0.070222222,0.0396,0.412051328
1073,2005,2013,31-Aug-82,Duke University,73,Chris Duhon,G,185,3,0.363,1.1,0.488,0.393,2.2,5.7,0.784,1,1.2,606,6.5,3.5,0.321,1.1,0.49,7.2,0.418,3,0.693,2.4,1.7,144,8.8,0.043039773,0.0786,0.064784053,0.065066667,0.078918919,0.0363,0.366709411
1074,2016,2016,4-Dec-91,University of Wisconsin,81,Duje Dukan,F,220,5,0.4,2,0.3,0.2,2,10,,0,0,1,6,1.4,0.328,0.5,0.52,2.6,0.427,1.1,0.656,0.7,0.4,97,3.1,7.10E-05,0.04,0.059800664,0.04,0.073636364,0.04,0.253508051
1076,1986,1999,24-May-63,McNeese State University,75,Joe Dumars,G,190,2.5,0.382,1,0.498,0.46,5.9,12.8,0.843,3.4,4,1018,16.1,0.3,0.625,0.2,0.47,17.6,0.462,8.1,0.788,7.9,6.2,116,22.5,0.072301136,0.092,0.160465116,0.0664,0.078947368,0.0382,0.508313621
1078,1993,1996,19-May-69,Oklahoma State University,79,Richard Dumas,F,200,0.1,0.231,0,0.511,0.509,4.3,8.4,0.694,2,3,102,10.6,0.4,0.192,0.1,0.5,12.8,0.501,6.4,0.685,4.4,3,70,15.9,0.007244318,0.1018,0.105647841,0.068133333,0.079,0.0231,0.384925492
1079,1995,1998,25-Aug-72,University of Missouri-Kansas City,78,Tony Dumas,G,190,2,0.327,0.7,0.454,0.404,2.6,6.5,0.608,1.4,2.3,156,7.3,4.3,0.37,1.6,0.53,15.8,0.477,7.5,0.753,7,5.3,112,22,0.011079545,0.0808,0.072757475,0.060533333,0.082105263,0.0327,0.339975617
1081,1998,2016,25-Apr-76,Wake Forest University,83,Tim Duncan,F-C,250,0.1,0.179,0,0.507,0.506,7.4,14.6,0.696,4.2,6.1,1392,19,0.4,0.321,0.1,0.58,10.7,0.577,6.2,0.689,5.9,4.1,128,16.5,0.098863636,0.1012,0.189368771,0.0676,0.0664,0.0179,0.541332407
1083,2003,2017,15-Sep-80,Duke University,81,Mike Dunleavy,F-G,230,3.5,0.377,1.3,0.514,0.441,4,9.1,0.803,1.9,2.4,986,11.2,4.6,0.371,1.7,0.56,10.1,0.475,4.8,0.698,2.7,1.9,104,13.2,0.070028409,0.0882,0.111627907,0.068533333,0.070434783,0.0377,0.446524432
1084,2017,2018,18-Mar-94,Providence College,76,Kris Dunn,G,210,1.6,0.309,0.5,0.445,0.413,3.1,7.5,0.69,0.9,1.3,130,7.6,2.2,0.354,0.8,0.49,9.9,0.45,4.5,0.693,4.5,3.1,95,12.8,0.009232955,0.0826,0.075747508,0.059333333,0.072380952,0.0309,0.330194749
1087,2004,2011,26-Jan-81,Louisiana State University,79,Ronald Dupree,F,209,0.1,0.385,0,0.432,0.427,1.4,3.2,0.559,0.7,1.3,157,3.5,1.7,0.3,0.5,0.51,10.7,0.483,5.2,0.638,4,2.6,129,13.4,0.011150568,0.0854,0.034883721,0.0576,0.075598086,0.0385,0.303132375
1088,2008,2018,29-Sep-88,University of Texas at Austin,81,Kevin Durant,F-G,240,4.8,0.384,1.9,0.54,0.49,9.2,18.8,0.882,6.9,7.8,770,27.1,5.8,0.404,2.3,0.53,18.5,0.473,8.7,0.816,7.3,6,35,25.8,0.0546875,0.098,0.270099668,0.072,0.0675,0.0384,0.600687168
1091,1993,1995,10-Mar-67,Colorado State University,79,Pat Durham,F,210,0.4,0.192,0.1,0.479,0.469,1.9,4.1,0.667,1.1,1.7,64,5,0.1,0.111,0,0.51,11,0.515,5.6,0.697,6.5,4.6,125,15.8,0.004545455,0.0938,0.049833887,0.063866667,0.075238095,0.0192,0.306484103
1098,2012,2012,1-May-87,University of Connecticut,75,Jerome Dyson,G,180,0.9,0.125,0.1,0.406,0.396,2.1,5.3,0.778,3.1,4,9,7.4,3.8,0.318,1.2,0.44,11.9,0.39,4.6,0.735,5.4,4,113,14.4,0.000639205,0.0792,0.073754153,0.054133333,0.083333333,0.0125,0.303560024
1099,1989,1998,24-Nov-66,University of New Orleans,77,Ledell Eackles,G-F,220,0.9,0.336,0.3,0.461,0.445,4.1,9.2,0.767,2.3,3,441,10.8,4.3,0.352,1.5,0.53,17.6,0.482,8.5,0.776,5.9,4.6,59,23,0.031321023,0.089,0.107641196,0.061466667,0.07,0.0336,0.393028885
1103,2015,2016,17-Apr-91,Wichita State University,80,Cleanthony Early,F,210,1.8,0.263,0.5,0.398,0.346,1.6,4.5,0.75,0.7,0.9,56,4.3,4.3,0.348,1.5,0.54,10.5,0.47,4.9,0.819,4.6,3.7,75,15.1,0.003977273,0.0692,0.042857143,0.053066667,0.076190476,0.0263,0.271591558
1107,2011,2013,28-Oct-89,West Virginia University,81,Devin Ebanks,F,215,0.6,0.222,0.1,0.404,0.385,1.3,3.4,0.722,0.8,1.1,63,3.6,1,0.114,0.1,0.47,8.6,0.463,4,0.736,4.2,3.1,69,11.2,0.004474432,0.077,0.035880399,0.053866667,0.075348837,0.0222,0.268770334
1112,2016,2018,30-Oct-91,Virginia Polytechnic Institute and State University,79,Jarell Eddie,G-F,218,1.9,0.292,0.6,0.413,0.302,0.8,2.5,0.941,0.5,0.5,34,2.6,4.3,0.365,1.6,0.48,8.1,0.385,3.1,0.812,2.2,1.8,123,9.6,0.002414773,0.0604,0.025913621,0.055066667,0.072477064,0.0292,0.245472125
1119,1996,2001,14-Feb-73,"University of California, Los Angeles",70,Tyus Edney,G,152,0.9,0.322,0.3,0.428,0.405,2.6,6.4,0.806,2.2,2.7,226,7.6,2,0.383,0.8,0.53,8.1,0.481,3.9,0.805,4.5,3.6,125,12.1,0.016051136,0.081,0.075747508,0.057066667,0.092105263,0.0322,0.354170574
1120,1994,1994,22-Sep-71,Wright State University,80,Bill Edwards,F,215,1.7,0,0,0.111,0.111,0.7,6,0.4,0.7,1.7,3,2,2.9,0.361,1.1,0.55,14.8,0.51,7.6,0.741,5.4,4,114,20.2,0.000213068,0.0222,0.019933555,0.0148,0.074418605,0,0.131565228
1121,1990,1999,31-Oct-65,East Carolina University,76,Blue Edwards,G-F,200,1.3,0.335,0.4,0.499,0.475,4.3,9,0.779,1.8,2.3,704,10.8,1,0.473,0.5,0.57,14.7,0.555,8.2,0.75,5.1,3.8,57,20.6,0.05,0.095,0.107641196,0.066533333,0.076,0.0335,0.428674529
1123,1994,1996,21-Jan-71,Florida State University,79,Doug Edwards,F,220,0.1,0,0,0.378,0.378,0.8,2.2,0.709,0.7,1,85,2.4,1.2,0.263,0.3,0.54,12.8,0.52,6.7,0.725,4.9,3.6,93,17.2,0.006036932,0.0756,0.023920266,0.0504,0.071818182,0,0.227775379
1126,1990,1990,3-Jan-69,Indiana University,76,Jay Edwards,G,185,0.5,0,0,0.429,0.429,0.8,1.8,0.333,0.3,0.8,4,1.8,5.1,0.481,2.5,0.56,12.6,0.465,5.8,0.847,4.8,4.1,57,18.2,0.000284091,0.0858,0.017940199,0.0572,0.082162162,0,0.243386452
1128,1989,2001,30-Oct-65,DePaul University,75,Kevin Edwards,G,190,0.9,0.335,0.3,0.437,0.423,4.4,10.4,0.803,1.9,2.3,604,10.9,1.5,0.446,0.7,0.56,12.4,0.534,6.6,0.793,3,2.4,61,16.3,0.042897727,0.0846,0.108637874,0.058266667,0.078947368,0.0335,0.406849636
1135,1995,2006,4-Dec-72,Boston College,74,Howard Eisley,G,177,1.9,0.35,0.7,0.463,0.407,2.4,5.9,0.827,1.1,1.3,786,6.5,3.5,0.447,1.6,0.53,9.5,0.444,4.2,0.784,3.8,3,126,12.9,0.055823864,0.0814,0.064784053,0.061733333,0.083615819,0.035,0.382357069
1137,2001,2001,25-Apr-79,University of Connecticut,70,Khalid El-Amin,G,200,1.7,0.333,0.6,0.415,0.37,2.3,6.2,0.778,1.1,1.4,50,6.3,5.1,0.355,1.8,0.49,12.9,0.416,5.4,0.822,3.3,2.7,108,15.3,0.003551136,0.074,0.062790698,0.055333333,0.07,0.0333,0.298975167
1141,2017,2018,13-Jan-97,Marquette University,83,Henry Ellenson,F,245,1.6,0.307,0.5,0.43,0.359,1.3,3.5,0.741,0.4,0.5,55,3.4,3.2,0.288,0.9,0.48,13.2,0.446,5.9,0.749,5.8,4.3,33,17,0.00390625,0.0718,0.033887043,0.057333333,0.067755102,0.0307,0.265381729
1142,2010,2018,29-Oct-87,University of North Carolina,76,Wayne Ellington,G,200,3.7,0.38,1.4,0.507,0.41,2.9,7.1,0.851,0.7,0.8,590,8,5,0.397,2,0.55,11.6,0.463,5.4,0.809,2.5,2,115,14.7,0.041903409,0.082,0.079734219,0.0676,0.076,0.038,0.385237628
1144,1990,2001,2-Feb-68,University of Arizona,80,Sean Elliott,F,205,2.1,0.375,0.8,0.5,0.465,5.2,11.2,0.799,3,3.8,742,14.2,3.2,0.428,1.4,0.56,13.2,0.512,6.7,0.793,5.9,4.7,133,19.2,0.052698864,0.093,0.141528239,0.066666667,0.07804878,0.0375,0.46944255
1150,1993,2003,5-May-70,University of Notre Dame,80,LaPhonso Ellis,F,240,1.3,0.302,0.4,0.471,0.452,4.6,10.3,0.73,2.2,3,624,11.9,0.3,0.455,0.2,0.59,10.5,0.577,6.1,0.675,4.8,3.3,97,15.5,0.044318182,0.0904,0.118604651,0.0628,0.066666667,0.0302,0.4129895
1159,2017,2018,16-Mar-94,University of Kansas,85,Joel Embiid,C,250,3.3,0.327,1.1,0.512,0.478,7.6,15.8,0.774,5.9,7.6,94,22,0.2,0.2,0,0.62,6.1,0.626,3.8,0.685,5.1,3.5,28,11.2,0.006676136,0.0956,0.219269103,0.068266667,0.068,0.0327,0.490511906
1161,2005,2012,27-Aug-82,Texas Tech University,77,Andre Emmett,F,230,0.1,0,0,0.462,0.462,0.4,0.9,0.615,0.6,0.9,14,1.4,1.4,0.312,0.4,0.51,13.8,0.5,6.9,0.703,4.9,3.4,128,17.6,0.000994318,0.0924,0.013953488,0.0616,0.066956522,0,0.235904328
1168,1993,1995,4-Feb-70,University of South Carolina,76,Jo Jo English,G,195,0.6,0.344,0.2,0.447,0.416,1.5,3.6,0.556,0.4,0.7,50,3.6,3.2,0.376,1.2,0.51,10.1,0.455,4.6,0.659,3.1,2.1,115,12.5,0.003551136,0.0832,0.035880399,0.0596,0.077948718,0.0344,0.294580253
1169,2013,2013,24-Sep-88,University of Missouri,78,Kim English,G,200,1.2,0.28,0.3,0.438,0.375,1,2.7,0.724,0.5,0.7,41,2.9,4.3,0.394,1.7,0.52,8.7,0.42,3.7,0.727,2.9,2.1,141,11.1,0.002911932,0.075,0.028903654,0.0584,0.078,0.028,0.271215586
1173,2015,2018,24-Aug-94,Syracuse University,75,Tyler Ennis,G,194,1.1,0.32,0.4,0.463,0.418,1.7,4.1,0.763,0.4,0.5,184,4.1,2.5,0.353,0.9,0.46,10.6,0.411,4.4,0.765,4.4,3.4,34,12.9,0.013068182,0.0836,0.040863787,0.061733333,0.077319588,0.032,0.30858489
1184,1997,1999,13-Sep-73,Indiana University,80,Brian Evans,F,220,1.1,0.343,0.4,0.43,0.381,1.4,3.7,0.82,0.5,0.6,102,3.7,3.7,0.408,1.5,0.52,10.2,0.449,4.6,0.8,3.8,3.1,124,13.7,0.007244318,0.0762,0.036877076,0.057333333,0.072727273,0.0343,0.284682001
1186,2018,2018,26-Jul-96,Oklahoma State University,73,Jawun Evans,G,185,1.1,0.278,0.3,0.381,0.352,1.9,5.3,0.776,0.8,1,48,4.8,2.5,0.407,1,0.49,12.7,0.448,5.7,0.818,5.1,4.2,54,16.6,0.003409091,0.0704,0.047840532,0.0508,0.078918919,0.0278,0.279168541
1187,2011,2018,24-Oct-87,Western Kentucky University,81,Jeremy Evans,F,200,0.1,0.231,0,0.573,0.569,1.5,2.6,0.687,0.6,0.8,250,3.5,0.2,0.364,0.1,0.65,5,0.639,3.2,0.684,2.2,1.5,134,7.9,0.017755682,0.1138,0.034883721,0.0764,0.081,0.0231,0.346939403
1188,2002,2012,8-Nov-78,"Wichita State University, University of Texas at Austin",77,Maurice Evans,G,220,2.1,0.363,0.8,0.508,0.442,2.5,5.7,0.785,0.8,1,562,6.7,5.7,0.382,2.2,0.52,13,0.432,5.6,0.752,4.2,3.1,93,16.5,0.039914773,0.0884,0.066777409,0.067733333,0.07,0.0363,0.369125515
1191,2010,2018,19-Sep-89,University of Memphis,78,Tyreke Evans,G-F,220,2.5,0.318,0.8,0.473,0.445,6.2,13.9,0.759,3.3,4.3,525,16.5,3.4,0.274,0.9,0.49,13.6,0.455,6.2,0.711,5.2,3.7,37,17.1,0.037286932,0.089,0.164451827,0.063066667,0.070909091,0.0318,0.456514517
1192,2006,2007,26-Mar-83,Duke University,75,Daniel Ewing,G,185,1,0.295,0.3,0.433,0.389,1.3,3.3,0.78,0.6,0.7,127,3.4,4,0.392,1.6,0.52,9,0.432,3.9,0.746,2.9,2.2,138,11.6,0.009019886,0.0778,0.033887043,0.057733333,0.081081081,0.0295,0.289021344
1194,2011,2011,20-May-84,"Indiana University, Georgetown University",80,Patrick Ewing,F,235,0.3,0,0,0,0,0,0.7,0.75,0.4,0.6,7,0.4,0.7,0.36,0.3,0.56,3.1,0.518,1.6,0.584,1.6,0.9,127,4.3,0.000497159,0,0.003986711,0,0.068085106,0,0.072568976
1204,2007,2017,30-Nov-86,"University of California, Los Angeles",74,Jordan Farmar,G,180,3.1,0.374,1.2,0.507,0.423,2.9,6.8,0.739,0.8,1,504,7.7,4.4,0.333,1.5,0.48,10.8,0.41,4.4,0.76,4,3,66,13.3,0.035795455,0.0846,0.076744186,0.0676,0.082222222,0.0374,0.384361863
1205,2007,2009,7-Oct-81,University of Southern California,77,Desmon Farmer,G,220,1.8,0.25,0.5,0.397,0.31,0.8,2.6,1,0.3,0.3,11,2.4,5,0.338,1.7,0.49,10.6,0.41,4.3,0.746,3.9,2.9,121,13.3,0.00078125,0.062,0.023920266,0.052933333,0.07,0.025,0.234634849
